Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_EstacionArribo,Fecha Arribo,Hora_Arribo
F,29.0,3907631,096,29/04/2024,14:22:43,096,29/04/2024,14:43:31
M,60.0,6058028,422,25/04/2024,08:26:25,668,25/04/2024,08:30:12
F,35.0,4241303,359,16/03/2024,21:13:21,343,16/03/2024,21:17:47
M,40.0,6977052,546,29/01/2024,07:40:40,480,29/01/2024,07:56:51
M,49.0,3636958,231,21/03/2024,10:16:34,223,21/03/2024,10:30:52
M,30.0,3076858,064,23/02/2024,19:15:56,046,23/02/2024,19:21:49
F,28.0,8351058,145,30/04/2024,15:04:52,144,30/04/2024,15:09:09
M,26.0,8777054,197,30/04/2024,17:16:36,465,30/04/2024,17:29:06
M,40.0,4852232,079,28/02/2024,18:08:53,285,28/02/2024,18:16:40
F,23.0,3847696,053,29/01/2024,13:53:27,044,29/01/2024,13:59:42
O,30.0,6445993,402,16/03/2024,17:32:08,276,16/03/2024,17:45:09
M,32.0,3602208,449,05/02/2024,14:27:15,014,05/02/2024,14:31:06
M,25.0,2409878,315,23/02/2024,11:02:35,337,23/02/2024,11:20:45
M,27.0,2554764,594,19/02/2024,13:45:44,025,19/02/2024,14:04:24
F,25.0,8514804,150,07/02/2024,18:37:22,149,07/02/2024,18:45:13
M,31.0,8208027,633,17/01/2024,09:02:17,597,17/01/2024,09:18:19
M,32.0,2844124,055,25/01/2024,22:05:13,011,25/01/2024,22:24:28
F,32.0,5255807,001,05/04/2024,19:52:43,573,05/04/2024,20:16:40
M,49.0,3000502,065,09/01/2024,07:47:27,316,09/01/2024,08:24:28
M,28.0,7754161,106,07/03/2024,08:58:59,212,07/03/2024,09:42:13
F,28.0,7302482,007,23/03/2024,08:24:49,027,23/03/2024,08:54:05
